年月日,日報酬率 %
2024/04/29,1.7949
2024/04/26,1.6287
2024/04/25,-1.8228
2024/04/24,2.9296
2024/04/23,0.9638
2024/04/22,-0.2982
2024/04/19,-5.0645
2024/04/18,0.9848
2024/04/17,1.1243
2024/04/16,-2.7188
2024/04/15,-1.2955
2024/04/12,-0.2462
2024/04/11,-0.3067
2024/04/10,-0.1531
2024/04/09,2.3832
2024/04/08,0.5676
2024/04/03,-0.689
2024/04/02,1.4295
2024/04/01,-0.3167
2024/03/29,0.6373
2024/03/28,-0.4757
2024/03/27,0.0317
2024/03/26,0.0635
2024/03/25,0.1908
2024/03/22,-0.1271
2024/03/21,2.7415
2024/03/20,-0.5518
2024/03/19,-0.2267
2024/03/18,0.915
2024/03/15,-1.354
2024/03/14,-0.0966
2024/03/13,0.4854
2024/03/12,1.0464
2024/03/11,-1.0036
2024/03/08,1.4117
2024/03/07,2.3178
2024/03/06,0.4725
2024/03/05,0.8166
2024/03/04,2.9062
2024/03/01,-0.3489
2024/02/29,-0.0349
2024/02/27,-0.4168
2024/02/26,0.1391
2024/02/23,0.6653
2024/02/22,1.1331
2024/02/21,-0.3177
2024/02/20,0.3898
2024/02/19,-0.1415
2024/02/16,-0.7376
2024/02/15,4.7076
2024/02/05,0.6292
2024/02/02,0.5582
2024/02/01,0
2024/01/31,-1.3221
2024/01/30,-0.2564
2024/01/29,0.6266
2024/01/26,0
2024/01/25,1.2313
2024/01/24,-0.0373
2024/01/23,0.1868
2024/01/22,0.6772
2024/01/19,3.5853
2024/01/18,0.6669
2024/01/17,-0.9115
2024/01/16,-1.015
2024/01/15,0.2639
2024/01/12,-0.1505
2024/01/11,0.4157
2024/01/10,-0.5263
2024/01/09,0.1883
2024/01/08,0.454
2024/01/05,-0.2642
2024/01/04,-0.0377
2024/01/03,-1.742
2024/01/02,-0.4061
2023/12/29,-0.221
2023/12/28,0
2023/12/27,1.1173
2023/12/26,0.5618
2023/12/25,0.4137
2023/12/22,0.264
2023/12/21,-0.8598
2023/12/20,0.2624
2023/12/19,-0.3734
2023/12/18,0.1496
2023/12/15,0.4131
2023/12/14,1.2163
2023/12/13,0.038
2023/12/12,0.2287
2023/12/11,0.1145
2023/12/08,0.8077
2023/12/07,-0.6116
2023/12/06,0.3452
2023/12/05,-0.7235
2023/12/04,-0.3794
2023/12/01,0.3426
2023/11/30,0.1525
2023/11/29,-0.0762
2023/11/28,0.6904
2023/11/27,-0.6479
2023/11/24,-0.0762
2023/11/23,-0.0381
2023/11/22,-0.9053
2023/11/21,1.2218
2023/11/20,-0.0382
2023/11/17,0.3063
2023/11/16,0.0383
2023/11/15,1.2016
2023/11/14,0.2331
2023/11/13,1.5385
2023/11/10,-0.3929
2023/11/09,0.0393
2023/11/08,0.5534
2023/11/07,-0.0395
2023/11/06,0.8768
2023/11/03,0.7631
2023/11/02,2.2587
2023/11/01,0.4953
2023/10/31,-0.6967
2023/10/30,-0.2453
2023/10/27,0.4517
2023/10/26,-1.9726
2023/10/25,0.2017
2023/10/24,0.0807
2023/10/23,-1.236
2023/10/20,0.4405
2023/10/19,0.0401
2023/10/18,-1.3829
2023/10/17,0.2376
2023/10/16,-0.5514
2023/10/13,-0.2749
2023/10/12,0.8317
2023/10/11,1.7325
2023/10/06,0.3639
2023/10/05,1.4356
2023/10/04,-1.2955
2023/10/03,-0.6036
2023/10/02,1.3045
2023/09/28,0.4093
2023/09/27,0.041
2023/09/26,-1.1736
2023/09/25,0.7338
2023/09/22,-0.0815
2023/09/21,-1.6032
2023/09/20,-0.558
2023/09/19,-0.4365
2023/09/18,-1.0601
2023/09/15,0.3151
2023/09/14,1.3978
2023/09/13,0.12
2023/09/12,1.0097
2023/09/11,-0.4023
2023/09/08,-0.4405
2023/09/07,-0.9127
2023/09/06,-0.3559
2023/09/05,-0.2367
2023/09/04,0.6751
2023/09/01,0.1591
2023/08/31,-0.7109
2023/08/30,0.4363
2023/08/29,0.5584
2023/08/28,0.6423
2023/08/25,-1.9291
2023/08/24,1.7221
2023/08/23,0.6855
2023/08/22,0.813
2023/08/21,-0.6863
2023/08/18,-0.6019
2023/08/17,0.4434
2023/08/16,-0.5213
2023/08/15,0.1606
2023/08/14,-1.4252
2023/08/11,-0.0791
2023/08/10,-0.6289
2023/08/09,0.1575
2023/08/08,-1.1673
2023/08/07,0.9823
2023/08/04,-0.4693
2023/08/02,-1.236
2023/08/01,0.5047
2023/07/31,-0.5405
2023/07/28,0
2023/07/27,0.7782
2023/07/26,-0.2716
2023/07/25,1.2574
2023/07/24,0.0393
2023/07/21,-1.6622
2023/07/20,0.466
2023/07/19,-0.8471
2023/07/18,-0.1894
2023/07/17,-0.189
2023/07/14,1.0313
2023/07/13,1.1201
2023/07/12,0.1935
2023/07/11,1.3731
2023/07/10,-0.1958
2023/07/07,-0.1564
2023/07/06,-2.2171
2023/07/05,-0.1527
2023/07/04,0.2295
2023/07/03,1.2393
2023/06/30,0.0387
2023/06/29,-0.0387
2023/06/28,0.1552
2023/06/27,-0.6551
2023/06/26,-0.6128
2023/06/21,0
2023/06/20,-0.5333
2023/06/19,-0.2281
2023/06/16,-0.2654
2023/06/15,0.3042
2023/06/14,-0.038
2023/06/13,1.9767
2023/06/12,0.939
2023/06/09,0.7489
2023/06/08,-0.9758
2023/06/07,1.105
2023/06/06,0.277
2023/06/05,-0.3156
2023/06/02,1.2785
2023/06/01,-0.7927
2023/05/31,-0.4734
2023/05/30,0
2023/05/29,0.6352
2023/05/26,2.3568
2023/05/25,1.1924
2023/05/24,-0.491
2023/05/23,-0.0818
2023/05/22,-0.1633
2023/05/19,0.2865
2023/05/18,1.3273
2023/05/17,1.6442
2023/05/16,1.1945
2023/05/15,0
2023/05/12,-0.2977
2023/05/11,-0.2122
2023/05/10,-0.9251
2023/05/09,0.2952
2023/05/08,0.6367
2023/05/05,0.2553
2023/05/04,0.256
2023/05/03,-0.4248
2023/05/02,0.2555
2023/04/28,1.2069
2023/04/27,-0.0861
2023/04/26,-0.4288
2023/04/25,-1.3119
2023/04/24,-0.3794
2023/04/21,-0.2523
2023/04/20,-0.126
2023/04/19,-0.7503
2023/04/18,-0.3324
2023/04/17,-0.2487
2023/04/14,0.9623
2023/04/13,-0.871
2023/04/12,-0.2482
2023/04/11,-0.124
2023/04/10,0
2023/04/07,0
2023/04/06,-0.4934
2023/03/31,0.33
2023/03/30,0.4975
2023/03/29,0.1661
2023/03/28,-0.8646
2023/03/27,-0.6137
2023/03/24,0.2872
2023/03/23,0.7858
2023/03/22,1.8963
2023/03/21,0.4657
2023/03/20,-0.7146
2023/03/17,1.6232
2023/03/16,-0.4677
2023/03/15,0.0851
2023/03/14,-1.0943
2023/03/13,0.4227
2023/03/10,-1.5807
2023/03/09,-0.0831
2023/03/08,-0.8244
2023/03/07,0.6639
2023/03/06,0.9636
2023/03/03,0.0839
2023/03/02,-0.0838
2023/03/01,0.463
2023/02/24,-0.5025
2023/02/23,1.4875
2023/02/22,-1.0929
2023/02/21,-0.042
2023/02/20,0.2105
2023/02/17,-1.2884
2023/02/16,1.22
2023/02/15,-2.3017
2023/02/14,0.7453
2023/02/13,-0.2066
2023/02/10,0.0827
2023/02/09,0.0414
2023/02/08,1.5546
2023/02/07,-0.2096
2023/02/06,-1.4463
2023/02/03,0
2023/02/02,1.6807
2023/02/01,0.5917
2023/01/31,-1.9884
2023/01/30,4.403
2023/01/17,0
2023/01/16,0.7679
2023/01/13,1.1653
2023/01/12,-0.4297
2023/01/11,0.086
2023/01/10,0.3886
2023/01/09,3.5778
2023/01/06,0.4492
2023/01/05,0.724
2023/01/04,-0.2257
2023/01/03,0.4991
2022/12/30,0.6393
2022/12/29,-0.4545
2022/12/28,-1.4337
2022/12/27,0.45
2022/12/26,0.3613
2022/12/23,-1.6874
2022/12/22,1.6704
2022/12/21,0.408
2022/12/20,-1.8247
2022/12/19,-0.5752
2022/12/16,-1.6536
2022/12/15,0.0871
2022/12/14,1.2346
