日期,當日均價(元),未調整收盤價(元)
2023/12/29,,"17,930.81"
2023/12/28,,"17,910.37"
2023/12/27,,"17,891.5"
2023/12/26,,"17,751.73"
2023/12/25,,"17,604.84"
2023/12/22,,"17,596.63"
2023/12/21,,"17,543.74"
2023/12/20,,"17,635.2"
2023/12/19,,"17,576.55"
2023/12/18,,"17,652.03"
2023/12/15,,"17,673.87"
2023/12/14,,"17,653.11"
2023/12/13,,"17,468.93"
2023/12/12,,"17,450.63"
2023/12/11,,"17,418.34"
2023/12/08,,"17,383.99"
2023/12/07,,"17,278.74"
2023/12/06,,"17,360.72"
2023/12/05,,"17,328.01"
2023/12/04,,"17,421.48"
2023/12/01,,"17,438.35"
2023/11/30,,"17,433.85"
2023/11/29,,"17,370.56"
2023/11/28,,"17,341.25"
2023/11/27,,"17,137.42"
2023/11/24,,"17,287.42"
2023/11/23,,"17,294.55"
2023/11/22,,"17,310.26"
2023/11/21,,"17,416.7"
2023/11/20,,"17,210.47"
2023/11/17,,"17,208.95"
2023/11/16,,"17,171.18"
2023/11/15,,"17,128.78"
2023/11/14,,"16,915.71"
2023/11/13,,"16,839.29"
2023/11/10,,"16,682.67"
2023/11/09,,"16,745.65"
2023/11/08,,"16,740.83"
2023/11/07,,"16,684.95"
2023/11/06,,"16,649.36"
2023/11/03,,"16,507.65"
2023/11/02,,"16,396.95"
2023/11/01,,"16,038.56"
2023/10/31,,"16,001.27"
2023/10/30,,"16,149.68"
2023/10/27,,"16,134.61"
2023/10/26,,"16,073.74"
2023/10/25,,"16,358.89"
2023/10/24,,"16,309.76"
2023/10/23,,"16,251.36"
2023/10/20,,"16,440.72"
2023/10/19,,"16,452.73"
2023/10/18,,"16,440.91"
2023/10/17,,"16,642.55"
2023/10/16,,"16,652.24"
2023/10/13,,"16,782.57"
2023/10/12,,"16,825.91"
2023/10/11,,"16,672.03"
2023/10/06,,"16,520.57"
2023/10/05,,"16,453.52"
2023/10/04,,"16,273.38"
2023/10/03,,"16,454.34"
2023/10/02,,"16,557.31"
2023/09/28,,"16,353.74"
2023/09/27,,"16,310.36"
2023/09/26,,"16,276.07"
2023/09/25,,"16,452.23"
2023/09/22,,"16,344.48"
2023/09/21,,"16,316.67"
2023/09/20,,"16,534.75"
2023/09/19,,"16,636.32"
2023/09/18,,"16,698.24"
2023/09/15,,"16,920.92"
2023/09/14,,"16,807.56"
2023/09/13,,"16,581.51"
2023/09/12,,"16,572.71"
2023/09/11,,"16,432.95"
2023/09/08,,"16,576.02"
2023/09/07,,"16,619.14"
2023/09/06,,"16,738.16"
2023/09/05,,"16,791.61"
2023/09/04,,"16,789.69"
2023/09/01,,"16,644.94"
