日期,當日均價(元)
2023/12/29,591.9526
2023/12/28,591.6285
2023/12/27,589.657
2023/12/26,584.9277
2023/12/25,582.3635
2023/12/22,580.8501
2023/12/21,576.6069
2023/12/20,584.5107
2023/12/19,584.6451
2023/12/18,581.7913
2023/12/15,584.4711
2023/12/14,580.4932
2023/12/13,576.8396
2023/12/12,578.3811
2023/12/11,572.8761
2023/12/08,573.8624
2023/12/07,568.2801
2023/12/06,570.8971
2023/12/05,569.1791
2023/12/04,574.9653
2023/12/01,576.4389
2023/11/30,575.449
2023/11/29,573.5633
2023/11/28,571.5607
2023/11/27,570.7507
2023/11/24,575.2715
2023/11/23,575.4883
2023/11/22,576.2026
2023/11/21,583.9109
2023/11/20,576.6863
2023/11/17,581.1355
2023/11/16,581.3674
2023/11/15,579.9428
2023/11/14,573.7288
2023/11/13,573.7669
2023/11/10,555.916
2023/11/09,555.1756
2023/11/08,554.7028
2023/11/07,553.6427
2023/11/06,553.4508
2023/11/03,547.5467
2023/11/02,542.1081
2023/11/01,529.8043
2023/10/31,529.8117
2023/10/30,531.1164
2023/10/27,533.3715
2023/10/26,531.8855
2023/10/25,546.8468
2023/10/24,543.2529
2023/10/23,545.7848
2023/10/20,551.7696
2023/10/19,545.1061
2023/10/18,542.9897
2023/10/17,550.42
2023/10/16,544.6113
2023/10/13,551.1639
2023/10/12,547.9135
2023/10/11,542.8517
2023/10/06,531.4058
2023/10/05,526.7717
2023/10/04,520.6442
2023/10/03,530.3606
2023/10/02,531.7819
2023/09/28,522.9655
2023/09/27,520.488
2023/09/26,520.5896
2023/09/25,525.4098
2023/09/22,522.9666
2023/09/21,528.1687
2023/09/20,536.1634
2023/09/19,539.1042
2023/09/18,544.083
2023/09/15,555.4533
2023/09/14,547.3132
2023/09/13,543.2711
2023/09/12,540.8964
2023/09/11,537.1745
2023/09/08,537.6589
2023/09/07,544.243
2023/09/06,552.0211
2023/09/05,551.8246
2023/09/04,553.8086
2023/09/01,548.3408
