年月日,日報酬率 %
2024/04/29,1.6624
2024/04/26,2.0888
2024/04/25,-2.1711
2024/04/24,3.8462
2024/04/23,1.6173
2024/04/22,-1.0667
2024/04/19,-6.7164
2024/04/18,0
2024/04/17,2.0305
2024/04/16,-2.2333
2024/04/15,-1.467
2024/04/12,-0.2439
2024/04/11,0.6135
2024/04/10,-0.4884
2024/04/09,4.5977
2024/04/08,0.3846
2024/04/03,-1.2658
2024/04/02,2.5974
2024/04/01,-1.1553
2024/03/29,1.3004
2024/03/28,-1.2837
2024/03/27,-0.3836
2024/03/26,0.2564
2024/03/25,-0.6369
2024/03/22,0.1276
2024/03/21,3.4301
2024/03/20,-0.5249
2024/03/19,-0.2618
2024/03/18,1.9256
2024/03/15,-3.9541
2024/03/14,0.6418
2024/03/13,1.1688
2024/03/12,0.5222
2024/03/11,-2.2959
2024/03/08,3.1579
2024/03/07,3.4014
2024/03/06,0.6849
2024/03/05,0.6897
2024/03/04,5.225
2024/03/01,-0.1449
2024/02/29,-1.1461
2024/02/27,0
2024/02/26,0.1435
2024/02/23,0.7225
2024/02/22,1.6153
2024/02/21,-0.8734
2024/02/20,1.3274
2024/02/19,-0.7321
2024/02/16,-2.0086
2024/02/15,7.8947
2024/02/05,1.7323
2024/02/02,1.1146
2024/02/01,0
2024/01/31,-2.1807
2024/01/30,-0.9259
2024/01/29,0.6211
2024/01/26,0.3115
2024/01/25,2.3923
2024/01/24,-0.1592
2024/01/23,0.3195
2024/01/22,0
2024/01/19,6.4626
2024/01/18,1.2048
2024/01/17,0.1724
2024/01/16,-1.0239
2024/01/15,0.3425
2024/01/12,-0.3413
2024/01/11,0.3425
2024/01/10,-0.3413
2024/01/09,0.5146
2024/01/08,1.2153
2024/01/05,-0.6897
2024/01/04,0.346
2024/01/03,-2.5295
2024/01/02,0
2023/12/29,0
2023/12/28,0.1689
2023/12/27,1.0239
2023/12/26,0.8606
2023/12/25,-0.1718
2023/12/22,0.8666
2023/12/21,-1.3675
2023/12/20,0
2023/12/19,0
2023/12/18,0
2023/12/15,0.5155
2023/12/14,1.3865
2023/12/13,-0.173
2023/12/12,0.6969
2023/12/11,0.7018
2023/12/08,0.7067
2023/12/07,-0.7018
2023/12/06,0
2023/12/05,-0.6969
2023/12/04,-0.8636
2023/12/01,0.3466
2023/11/30,0.5226
2023/11/29,-0.1739
2023/11/28,1.2324
2023/11/27,-1.2174
2023/11/24,-0.519
2023/11/23,0.1733
2023/11/22,-1.3675
2023/11/21,1.3865
2023/11/20,-0.5172
2023/11/17,-0.5146
2023/11/16,0.3442
2023/11/15,1.5734
2023/11/14,0.1751
2023/11/13,2.5135
2023/11/10,0
2023/11/09,0.1799
2023/11/08,0.1802
2023/11/07,0.9091
2023/11/06,0.1821
2023/11/03,0.3656
2023/11/02,3.5985
2023/11/01,-0.189
2023/10/31,-0.5639
2023/10/30,-0.1876
2023/10/27,0.3766
2023/10/26,-2.3897
2023/10/25,0
2023/10/24,0
2023/10/23,-2.1583
2023/10/20,1.8315
2023/10/19,1.1111
2023/10/18,-1.9964
2023/10/17,1.1009
2023/10/16,-1.4467
2023/10/13,0.5455
2023/10/12,1.1029
2023/10/11,2.2556
2023/10/06,0.7576
2023/10/05,1.5385
2023/10/04,-1.7013
2023/10/03,-0.7505
2023/10/02,1.912
2023/09/28,0.1916
2023/09/27,0.578
2023/09/26,-1.1429
2023/09/25,0.5747
2023/09/22,-0.9488
2023/09/21,-1.4953
2023/09/20,-0.5576
2023/09/19,-0.3704
2023/09/18,-3.2258
2023/09/15,1.4545
2023/09/14,2.2181
2023/09/13,-0.5515
2023/09/12,1.4925
2023/09/11,-0.5566
2023/09/08,-0.5535
2023/09/07,-1.4545
2023/09/06,-0.3623
2023/09/05,-0.8977
2023/09/04,1.6423
2023/09/01,-0.1821
2023/08/31,-1.0811
2023/08/30,0.5435
2023/08/29,0.5464
2023/08/28,0.5495
2023/08/25,-3.1915
2023/08/24,2.1739
2023/08/23,2.0333
2023/08/22,0.7449
2023/08/21,-0.3711
2023/08/18,-0.9191
2023/08/17,0.369
2023/08/16,0
2023/08/15,0.1848
2023/08/14,-0.9158
2023/08/11,-0.9074
2023/08/10,-0.5415
2023/08/09,0.3623
2023/08/08,-1.0753
2023/08/07,0.722
2023/08/04,-1.2478
2023/08/02,-1.0582
2023/08/01,0.354
2023/07/31,-0.3527
2023/07/28,-0.3515
2023/07/27,0.53
2023/07/26,-0.5272
2023/07/25,1.9713
2023/07/24,-0.3571
2023/07/21,-3.2815
2023/07/20,-0.3442
2023/07/19,0
2023/07/18,-1.692
2023/07/17,0
2023/07/14,1.0256
2023/07/13,1.2111
2023/07/12,0.1733
2023/07/11,2.1239
2023/07/10,0
2023/07/07,0
2023/07/06,-2.921
2023/07/05,-0.5128
2023/07/04,1.0363
2023/07/03,0.5208
2023/06/30,0.5236
2023/06/29,-0.1742
2023/06/28,0.3497
2023/06/27,-0.3484
2023/06/26,-1.2048
2023/06/21,-0.3431
2023/06/20,0
2023/06/19,-1.0187
2023/06/16,-0.3384
2023/06/15,0.6356
2023/06/14,-0.5059
2023/06/13,3.3101
2023/06/12,1.5929
2023/06/09,1.0733
2023/06/08,-1.5845
2023/06/07,1.4286
2023/06/06,0.9009
2023/06/05,-1.2456
2023/06/02,1.9964
2023/06/01,-1.2545
2023/05/31,-1.4134
2023/05/30,-0.3521
2023/05/29,0.3534
2023/05/26,4.2357
2023/05/25,3.4286
2023/05/24,-0.9434
2023/05/23,-0.1883
2023/05/22,-0.188
2023/05/19,0.3774
2023/05/18,2.1195
2023/05/17,2.7723
2023/05/16,1.9173
2023/05/15,-0.1008
2023/05/12,-0.6012
2023/05/11,-0.7952
2023/05/10,-1.3725
2023/05/09,1.1905
2023/05/08,0.8
2023/05/05,0.4016
2023/05/04,0.4032
2023/05/03,-0.998
2023/05/02,-0.1992
2023/04/28,1.7224
2023/04/27,0.4069
2023/04/26,-1.3052
2023/04/25,-1.7751
2023/04/24,-0.7828
2023/04/21,-0.3899
2023/04/20,0.5882
2023/04/19,-0.9709
2023/04/18,-0.9615
2023/04/17,0.7752
2023/04/14,1.1765
2023/04/13,-1.9231
2023/04/12,-0.7634
2023/04/11,-0.9452
2023/04/10,-0.3766
2023/04/07,0.1887
2023/04/06,-0.5629
2023/03/31,-0.3738
2023/03/30,0.9434
2023/03/29,0.9524
2023/03/28,-1.1299
2023/03/27,-1.4842
2023/03/24,0.1859
